device_serial,start_date,end_date,duration_time,duration_day,min_temp,max_temp,mean_temp,std_temp,min_humi,max_humi,mean_humi,std_humi,min_acc,max_acc,mean_acc,std_acc,q1_temp,q3_temp,temp_start,temp_end,q1_humi,q3_humi,humi_start,humi_end,q1_acc,q3_acc,acc_start,acc_end,item_shock,alert_temp_sum,alert_humi_sum,alert_acc_sum,broken_yn
VC6M6002,2024-12-02 14:47:18,2024-12-11 23:37:18,224.83,9.00,1.80,21.00,9.36,11.57,48.00,80.00,67.81,5.29,1.00,1.40,1.02,0.05,6.90,11.70,-0.30,18.90,64.00,72.00,52.00,84.00,1.00,1.00,1.00,1.00,0,12,10,200,0
VC6M6002,2024-12-02 14:47:18,2024-12-11 23:37:18,224.83,9.00,1.80,21.00,9.36,11.57,48.00,80.00,67.81,5.29,1.00,1.40,1.02,0.05,6.90,11.70,-0.30,18.90,64.00,72.00,52.00,84.00,1.00,1.00,1.00,1.00,0,12,10,200,0
VC6M6003,2024-12-14 09:40:13,2025-01-23 23:50:13,974.17,40.00,-0.10,19.80,6.83,14.00,37.00,66.00,56.53,7.61,1.00,1.52,1.02,0.06,3.90,9.00,-3.75,16.65,49.00,62.00,29.50,81.50,1.00,1.01,0.98,1.02,0,24,0,148,1
VC6M6003,2024-12-14 09:40:13,2025-01-23 23:50:13,974.17,40.00,-0.10,19.80,6.83,14.00,37.00,66.00,56.53,7.61,1.00,1.52,1.02,0.06,3.90,9.00,-3.75,16.65,49.00,62.00,29.50,81.50,1.00,1.01,0.98,1.02,1,24,0,148,1
VC6M6003,2024-12-14 09:40:13,2025-01-23 23:50:13,974.17,40.00,-0.10,19.80,6.83,14.00,37.00,66.00,56.53,7.61,1.00,1.52,1.02,0.06,3.90,9.00,-3.75,16.65,49.00,62.00,29.50,81.50,1.00,1.01,0.98,1.02,1,24,0,148,1
VC6M6003,2024-12-14 09:40:13,2025-01-23 23:50:13,974.17,40.00,-0.10,19.80,6.83,14.00,37.00,66.00,56.53,7.61,1.00,1.52,1.02,0.06,3.90,9.00,-3.75,16.65,49.00,62.00,29.50,81.50,1.00,1.01,0.98,1.02,0,24,0,148,1
VC6M6007,2024-12-09 11:00:46,2025-01-23 09:20:46,1078.33,44.00,-10.80,9.60,0.56,10.74,41.00,90.00,57.38,6.91,0.90,1.93,0.99,0.05,-1.30,2.70,-7.30,8.70,53.00,61.00,41.00,73.00,0.92,1.00,0.80,1.12,0,102,126,8,1
VC6M6007,2024-12-09 11:00:46,2025-01-23 09:20:46,1078.33,44.00,-10.80,9.60,0.56,10.74,41.00,90.00,57.38,6.91,0.90,1.93,0.99,0.05,-1.30,2.70,-7.30,8.70,53.00,61.00,41.00,73.00,0.92,1.00,0.80,1.12,1,102,126,8,1
VC6M6007,2024-12-09 11:00:46,2025-01-23 09:20:46,1078.33,44.00,-10.80,9.60,0.56,10.74,41.00,90.00,57.38,6.91,0.90,1.93,0.99,0.05,-1.30,2.70,-7.30,8.70,53.00,61.00,41.00,73.00,0.92,1.00,0.80,1.12,0,102,126,8,1
VC6M6007,2024-12-09 11:00:46,2025-01-23 09:20:46,1078.33,44.00,-10.80,9.60,0.56,10.74,41.00,90.00,57.38,6.91,0.90,1.93,0.99,0.05,-1.30,2.70,-7.30,8.70,53.00,61.00,41.00,73.00,0.92,1.00,0.80,1.12,1,102,126,8,1
VC6M6008,2024-11-29 20:12:20,2024-11-30 08:42:20,12.50,0.00,1.10,6.10,3.18,1.45,66.00,75.00,69.08,2.29,1.00,1.21,1.01,0.05,2.40,4.03,-0.04,6.46,67.00,71.00,61.00,77.00,1.00,1.00,1.00,1.00,0,0,0,4,0
