device_serial,start_date,end_date,duration_time,duration_day,min_temp,max_temp,mean_temp,std_temp,min_humi,max_humi,mean_humi,std_humi,min_acc,max_acc,mean_acc,std_acc,q1_temp,q3_temp,temp_start,temp_end,q1_humi,q3_humi,humi_start,humi_end,q1_acc,q3_acc,acc_start,acc_end,ta_min,ta_max,ta_mean,ta_std,ta_q1,ta_q3,ws1_min,ws1_max,ws1_mean,ws1_std,ws1_q1,ws1_q3,ws10_min,ws10_max,ws10_mean,ws10_std,ws10_q1,ws10_q3,hm_min,hm_max,hm_mean,hm_std,hm_q1,hm_q3,alert_temp_sum,alert_humi_sum,alert_acc_sum,broken_yn
VC6M6002,2024-12-02 14:47:18,2024-12-11 23:37:18,224.83,9.00,1.80,21.00,9.36,11.57,48.00,80.00,67.81,5.29,1.00,1.40,1.02,0.05,6.90,11.70,-0.30,18.90,64.00,72.00,52.00,84.00,1.00,1.00,1.00,1.00,0.70,16.10,6.11,3.25,3.80,8.00,0.00,9.10,3.32,1.51,2.30,4.20,0.00,8.10,3.24,1.34,2.30,3.90,15.50,83.40,45.84,12.33,39.80,53.60,12,10,200,0
VC6M6003,2024-12-14 09:40:13,2025-01-23 23:50:13,974.17,40.00,-0.10,19.80,6.83,14.00,37.00,66.00,56.53,7.61,1.00,1.52,1.02,0.06,3.90,9.00,-3.75,16.65,49.00,62.00,29.50,81.50,1.00,1.01,0.98,1.02,-5.40,12.10,5.38,3.79,3.90,8.08,0.00,7.30,2.94,1.32,2.10,3.70,0.10,7.50,2.99,1.26,2.10,3.70,-99.20,100.00,42.83,19.78,36.10,48.05,24,0,148,1
VC6M6007,2024-12-09 11:00:46,2025-01-23 09:20:46,1078.33,44.00,-10.80,9.60,0.56,10.74,41.00,90.00,57.38,6.91,0.90,1.93,0.99,0.05,-1.30,2.70,-7.30,8.70,53.00,61.00,41.00,73.00,0.92,1.00,0.80,1.12,-15.20,10.00,-1.07,4.60,-3.90,2.40,0.00,7.40,1.89,1.26,1.00,2.60,0.00,7.20,1.89,1.16,1.10,2.50,23.40,93.80,67.88,16.22,55.10,81.00,102,126,8,1
VC6M6008,2024-11-29 20:12:20,2024-11-30 08:42:20,12.50,0.00,1.10,6.10,3.18,1.45,66.00,75.00,69.08,2.29,1.00,1.21,1.01,0.05,2.40,4.03,-0.04,6.46,67.00,71.00,61.00,77.00,1.00,1.00,1.00,1.00,0.80,4.40,2.92,1.11,2.30,3.70,0.00,3.10,1.49,1.04,0.22,2.40,0.00,4.20,1.42,1.18,0.38,2.00,67.30,97.30,82.79,9.39,75.20,89.00,0,0,4,0
VC6M600A,2024-12-01 03:08:46,2024-12-04 14:48:46,83.67,3.00,2.50,10.10,8.27,2.84,56.00,81.00,59.46,5.16,1.00,1.20,1.05,0.06,7.63,9.30,5.11,11.81,57.00,59.00,54.00,62.00,1.00,1.10,0.85,1.25,-1.50,6.90,3.81,1.37,3.00,4.90,0.00,7.60,3.39,1.69,2.30,4.60,0.00,6.60,3.50,1.62,2.30,4.70,29.60,96.70,56.66,22.22,37.50,79.00,6,9,0,0
VC6M600D,2024-12-03 01:45:16,2024-12-03 19:35:16,17.83,0.00,-0.80,5.20,0.97,2.68,57.00,68.00,64.33,2.11,1.20,1.42,1.23,0.07,-0.20,2.35,-4.02,6.17,63.75,65.25,61.50,67.50,1.20,1.20,1.20,1.20,-2.10,3.20,-0.36,1.20,-0.90,-0.15,0.30,1.80,1.04,0.48,0.60,1.33,0.50,1.80,1.35,0.45,0.90,1.70,38.30,76.70,54.84,12.00,43.60,60.10,0,3,7,0
VC6M6010,2024-11-22 10:05:37,2024-11-23 10:05:37,24.00,1.00,3.40,20.00,9.97,19.18,68.00,77.00,75.12,2.35,0.90,1.20,0.96,0.04,5.80,13.60,-5.90,25.30,75.00,77.00,72.00,80.00,0.94,0.97,0.89,1.02,-2.00,10.00,3.18,4.40,-0.60,8.20,0.00,5.10,1.97,1.30,1.00,2.60,0.00,3.70,1.99,1.13,1.30,2.90,40.90,86.30,67.60,17.19,47.20,83.60,0,19,6,0
VC6M6011,2024-12-03 13:45:35,2024-12-06 00:55:35,59.17,2.00,7.00,11.90,9.16,4.67,31.00,52.00,42.00,9.67,1.10,1.60,1.24,0.21,7.00,10.50,1.75,15.75,35.00,52.00,9.50,77.50,1.10,1.20,0.95,1.35,3.60,5.50,4.54,0.91,3.80,5.50,1.90,3.50,2.74,0.59,2.50,2.90,2.00,3.20,2.36,0.50,2.00,2.40,24.30,72.40,47.20,23.32,32.40,72.40,0,0,1,1
VC6M6014,2024-12-05 15:22:18,2024-12-18 08:02:18,304.67,12.00,-0.90,10.10,6.36,7.75,44.00,62.00,49.81,4.31,1.00,1.31,1.09,0.05,4.90,8.40,-0.35,13.65,47.00,52.00,39.50,59.50,1.10,1.11,1.08,1.12,-3.80,8.00,0.53,3.03,-1.60,2.40,0.00,5.20,2.83,1.32,1.50,3.80,0.00,5.30,2.73,1.20,1.40,3.30,-99.20,96.00,55.24,18.57,46.40,64.60,6,8,37,0
VC6M6015,2024-12-05 19:56:59,2024-12-06 19:36:59,23.67,0.00,0.30,6.70,3.37,4.24,55.00,69.00,62.97,3.49,1.00,1.40,1.03,0.08,1.20,5.53,-5.29,12.01,62.00,65.00,57.50,69.50,1.00,1.02,0.97,1.05,-99.90,5.50,0.85,11.14,-0.50,4.70,-99.90,4.60,0.51,10.91,0.38,2.90,-99.90,4.00,0.53,10.90,0.50,2.58,-99.20,98.00,66.04,23.67,52.90,81.10,0,12,16,0
VC6M6016,2024-12-05 13:36:55,2024-12-07 19:26:55,53.83,2.00,2.10,11.90,10.45,6.20,39.00,49.00,42.07,2.27,1.00,1.40,1.15,0.12,10.35,11.67,8.36,13.66,41.00,42.75,38.38,45.38,1.10,1.20,0.95,1.35,1.10,8.00,6.99,1.76,7.30,7.70,1.90,5.30,3.48,1.34,2.20,4.75,1.20,4.30,3.20,0.90,2.95,3.90,-99.20,64.80,33.41,56.34,51.00,55.80,1,1,1,0
VC6M6017,2024-12-11 21:31:54,2024-12-12 19:51:54,22.33,0.00,2.40,7.90,5.35,5.25,43.00,59.00,50.64,6.07,1.10,1.30,1.18,0.09,2.65,6.80,-3.58,13.03,47.00,57.50,31.25,73.25,1.10,1.25,0.88,1.48,0.80,3.00,2.18,0.73,1.60,2.70,0.00,3.80,1.79,1.05,1.75,2.10,0.00,3.70,1.85,1.07,1.70,2.40,-99.20,52.20,15.28,57.26,27.10,48.90,0,0,0,0
VC6M6018,2024-11-30 10:51:27,2024-12-08 23:11:27,204.33,8.00,1.90,12.30,6.66,7.22,55.00,70.00,63.25,2.42,1.10,1.40,1.11,0.03,4.60,8.90,-1.85,15.35,62.00,65.00,57.50,69.50,1.10,1.10,1.10,1.10,0.50,12.60,5.80,2.46,3.90,7.40,0.00,9.10,3.58,1.52,2.40,4.50,1.30,8.10,3.64,1.38,2.60,4.40,15.50,75.70,44.26,11.83,40.00,51.90,0,30,33,0
