#group,false,false,true,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,double,double,double,double,double,double,double,long,double,double,double,long,long,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,region,serial,temperature,tilty,ap,accy,tiltz,tiltx,shock,ingest_time,battery,lat,humidity,src,lbstime,motion,acc,accz,accx,mktPreCalc,exp,lon
,,0,2024-12-07T00:00:00Z,2024-12-07T23:59:00Z,2024-12-07T04:25:00Z,device_total_measurements,west,VC6M6019,,,,,,,,1733545820294,100,36.8120106,,2,,,,,,,,127.0488244
,,0,2024-12-07T00:00:00Z,2024-12-07T23:59:00Z,2024-12-07T04:28:00Z,device_total_measurements,west,VC6M6019,,,,,,,,1733545820294,100,36.8120106,,2,,,,,,,,127.0488244
,,0,2024-12-07T00:00:00Z,2024-12-07T23:59:00Z,2024-12-07T04:28:49Z,device_total_measurements,west,VC6M6019,8.1,-88.6,18350,-1,0,-1.4,0,1733545820421,,,41,,1733545500000,0,1,0,0,0.0000000000000003617582309283249,348.8,
,,0,2024-12-07T00:00:00Z,2024-12-07T23:59:00Z,2024-12-07T04:38:49Z,device_total_measurements,west,VC6M6019,8,-89.4,0,-1,-0.5,-0.3,0,1733546488820,,,39,,1733545680000,0,1,0,0,0.00000000000000035721207267206828,3679.2,
,,0,2024-12-07T00:00:00Z,2024-12-07T23:59:00Z,2024-12-07T04:41:00Z,device_total_measurements,west,VC6M6019,,,,,,,,1733546488787,100,36.8120106,,2,,,,,,,,127.0488244
,,0,2024-12-07T00:00:00Z,2024-12-07T23:59:00Z,2024-12-07T04:48:00Z,device_total_measurements,west,VC6M6019,,,,,,,,1733546915430,100,36.792512,,1,,,,,,,,127.070352
,,0,2024-12-07T00:00:00Z,2024-12-07T23:59:00Z,2024-12-07T04:48:49Z,device_total_measurements,west,VC6M6019,7.9,-86.3,0,-1,0.6,-3.6,0,1733546915440,,,40,,1733546460000,0,1,0.1,0,0.00000000000000035271987096708003,0,
,,0,2024-12-07T00:00:00Z,2024-12-07T23:59:00Z,2024-12-07T04:58:49Z,device_total_measurements,west,VC6M6019,7.6,-89.6,0,-1.1,0,0.4,0,1733548115359,,,40,,1733546880000,1,1.1,0,0,0.0000000000000003395610209498701,0,
,,0,2024-12-07T00:00:00Z,2024-12-07T23:59:00Z,2024-12-07T05:01:00Z,device_total_measurements,west,VC6M6019,,,,,,,,1733548116403,100,36.884899,,1,,,,,,,,127.043229
,,0,2024-12-07T00:00:00Z,2024-12-07T23:59:00Z,2024-12-07T05:08:00Z,device_total_measurements,west,VC6M6019,,,,,,,,1733548116403,100,36.954918,,1,,,,,,,,126.988926
,,0,2024-12-07T00:00:00Z,2024-12-07T23:59:00Z,2024-12-07T05:08:49Z,device_total_measurements,west,VC6M6019,8,-87.3,0,-1.2,0.4,-2.6,0,1733548115359,,,39,,1733547660000,1,1.2,0.1,-0.2,0.00000000000000035721207267206828,0,
