broken_yn,predicted_proba
0,
1,
1,
0,
0,
0,
0,
1,
0,
0,0.5797744243468904
0,
0,
0,0.05897172177097157
1,
0,
0,0.1331394750370261
1,
1,
0,0.011305955860392045
1,0.8405996438997749
0,
0,
0,
0,
1,0.7225719334787281
0,
1,
0,
0,
1,0.9999737095792776
0,0.270747362995132
0,0.10851427825024189
1,
1,
0,
1,
1,
1,
1,
1,
0,
1,
0,
0,
1,
0,0.02548126696508411
0,
0,
0,
1,
0,
0,0.2000588678858209
1,
1,
1,
1,0.9631141562761868
0,
1,
1,
0,
0,
1,
0,
0,
1,
0,
0,
0,
0,0.0049485198405415575
0,0.24027771392636701
0,
0,
0,
1,
0,
1,
0,0.006347700749955353
0,
0,0.022281773697225005
1,
1,
0,
0,0.05303343269097107
1,
1,
1,
1,
0,
0,
0,
1,0.9020708209589353
0,
1,
1,0.918056348285906
0,0.2901646680544777
0,
0,0.5315098942638133
0,0.06749395501553339
0,0.09359180429747038
1,
0,
0,0.04680732741996062
0,
1,
0,0.0038541434023525996
0,
0,
0,
0,
0,
0,
1,
1,
0,
0,0.0002569932507721447
0,
0,
0,
0,
0,0.050894834679071466
0,
0,
0,
0,
1,
0,0.0558134909095372
1,
1,
0,
0,
0,
0,
0,0.17270319998084857
0,
1,
0,
0,
0,
0,
1,0.9994418475665856
0,
1,
1,
0,
0,
0,
0,
0,0.02699443804431611
0,
0,
0,
0,
0,0.03363496766370433
0,
1,
0,
