device_datetime,device_serial,transport_uuid,influx_insert_time,temperature,humidity,mkt,lat,lon,lbstime,shock,battery,src,exp,acc,accx,accy,accz,tiltx,tilty,tiltz,motion,ap,dw_inserted_at,dw_updated_at
2024-12-07 04:25:00,VC6M6019,,2024-12-07 04:30:19.7,,,,36.812010,127.048824,,,100.0,2,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 04:28:00,VC6M6019,,2024-12-07 04:30:19.7,,,,36.812010,127.048824,,,100.0,2,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 04:28:49,VC6M6019,,2024-12-07 04:30:19.696,8.1,41.0,3.6175E-16,,,1733545500000,0.0,,,348.8,1.0,0.0,-1.0,0.0,-1.4,-88.6,0.0,0.0,18350.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 04:38:49,VC6M6019,,2024-12-07 04:41:28.176,8.0,39.0,3.5721E-16,,,1733545680000,0.0,,,3679.2,1.0,0.0,-1.0,0.0,-0.3,-89.4,-0.5,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 04:41:00,VC6M6019,,2024-12-07 04:41:28.177,,,,36.812010,127.048824,,,100.0,2,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 04:48:00,VC6M6019,,2024-12-07 04:48:34.795,,,,36.792512,127.070352,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 04:48:49,VC6M6019,,2024-12-07 04:48:34.794,7.9,40.0,3.5271E-16,,,1733546460000,0.0,,,0.0,1.0,0.0,-1.0,0.1,-3.6,-86.3,0.6,0.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 04:58:49,VC6M6019,,2024-12-07 05:08:34.713,7.6,40.0,3.3956E-16,,,1733546880000,0.0,,,0.0,1.1,0.0,-1.1,0.0,0.4,-89.6,0.0,1.0,0.0,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 05:01:00,VC6M6019,,2024-12-07 05:08:35.713,,,,36.884899,127.043229,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
2024-12-07 05:08:00,VC6M6019,,2024-12-07 05:08:35.713,,,,36.954918,126.988926,,,100.0,1,,,,,,,,,,,2024-12-12 07:21:41,2025-01-23 05:10:41
